X,Y,id,Clay_0,Silt_0,Sand_0,Clay_30,Silt_30,Sand_30,Clay_60,Silt_60,Sand_60,00-30_Clas,00-30_Cl_1,30-60_Clas,30-60_Cl_1,60-90_Clas,60-90_Cl_1,00-30_Nmin,00-30_Wate,30-60_Nmin,30-60_Wate,60-90_Nmin,60-90_Wate,Corg_0,Corg_30,Corg_60,Bulk_Density_0,Bulk_Density_30,Bulk_Density_60,,,,
445149.6798,5823980.92,1,2.369694996,9.581716894,88.04858811,3.491695576,12.73152502,83.77677941,8.048505818,16.37998106,75.57151312,Ss,fSms,Ss,fSms,Su2,,34.36717439,0.142425146,7.476593359,0.147991434,11.79207839,0.162593935,10.9,9.6,2.4,1.5,1.7,1.7,,109,96,24
445179.3388,5823977.12,2,6.90256941,9.39344819,83.7039824,12.08452053,17.48969538,70.42578408,10.77799795,21.65363067,67.56837138,Ss,fSms,Su2,,Ss,fSms,6.792788049,0.129733034,5.886664694,0.122970642,11.51653285,0.16495745,8.1,11.4,2.8,1.5,1.7,1.7,,81,114,28
445209.3076,5823973.02,3,2.363658566,9.06075391,88.57558752,3.723876758,20.48889415,75.78722909,5.303481097,14.6958378,80.00068111,Ss,fSms,Su2,,Sl2,,4.795563809,0.118331886,1.661912134,0.095248795,6.746149284,0.093330154,7.2,1.4,0.4,1.5,1.7,1.7,,72,14,4
445268.861,5823965.2,4,6.752169451,19.26593672,73.98189383,8.332109951,13.34444757,78.32344248,9.625424938,10.85738117,79.5171939,Sl2,,Sl3,,Sl3,,6.036236957,0.107679596,2.509045378,0.109252524,0.948624096,0.122724433,7.5,0.7,0.8,1.5,1.7,1.7,,75,7,8
445239.1042,5823968.98,5,3.504421795,12.7477032,83.747875,2.909838182,10.86606776,86.22409406,9.692192002,10.98371992,79.32408808,Su2,,Su2,,Su2,,8.324897622,0.116784563,0.821813837,0.092013722,2.927570726,0.129113286,6.1,2.8,2,1.5,1.7,1.7,,61,28,20
445298.6796,5823961.19,6,2.271202248,10.7873251,86.94147265,0.950054831,9.997345913,89.05259926,6.077900599,14.64390073,79.27819867,Su2,,Ss,mSfs,Sl2,,12.00795735,0.091358583,1.401190227,0.075427776,2.004368078,0.09848948,5,0.8,0.8,1.5,1.7,1.7,,50,8,8
445328.4439,5823957.15,7,1.246499183,15.21669923,83.53680159,3.003353483,13.48999287,83.50665364,2.857845678,18.76782355,78.37433077,Su2,,Su2,,Su2,,6.741140884,0.117427516,0,0.086055948,2.811160593,0.097392029,5.9,2.4,1.2,1.5,1.7,1.7,,59,24,12
445358.2769,5823953.09,8,3.557321646,14.08045821,82.36222015,2.269228945,14.32843952,83.40233154,9.884451906,18.31265075,71.80289735,Su2,,Su2,,Sl3,,5.49777994,0.121854176,0.469578096,0.092437168,8.172266714,0.122917647,7.3,1.4,1.1,1.5,1.7,1.7,,73,14,11
445388.1123,5823949.22,9,3.727587508,13.38533468,82.88707781,2.305733229,12.18929328,85.50497349,2.991885547,12.02360067,84.98451379,Su2,,Su2,,Su2,,7.082782803,0.116107959,0.890872301,0.078233108,2.678032909,0.094505985,7.1,2.9,0.7,1.5,1.7,1.7,,71,29,7
445417.9283,5823945.36,10,4.237400854,10.42556122,85.33703793,2.899416098,8.21572102,88.88486288,4.696522745,9.326537357,85.9769399,Su2,,Ss,fSms,Ss,mSfs,5.88732088,0.106466754,0.665512778,0.079819556,11.79637441,0.093557393,6.9,3.1,0.7,1.5,1.7,1.7,,69,31,7
445146.3874,5823960.45,11,1.051141107,5.938784024,93.01007487,0.352679649,5.872539434,93.77478092,0.73975211,15.82416737,83.43608052,Ss,fSms,Ss,fSms,Su2,,6.951501783,0.0891761,2.10810375,0.066358442,0.504359935,0.05104353,5.2,0.9,0.4,1.5,1.7,1.7,,52,9,4
445176.0463,5823956.64,12,1.271635274,6.324732642,92.40363208,0.770410767,5.448401781,93.78118745,0.29121397,4.628298831,95.0804872,Ss,fSms,Ss,fSms,Ss,fSms,5.922742409,0.10134566,0.685927774,0.060512418,10.86436515,0.11929465,7.2,1.4,0.4,1.5,1.7,1.7,,72,14,4
445206.0152,5823952.54,13,2.816670736,8.935374709,88.24795456,4.22847386,12.36326723,83.40825891,7.194981441,8.562126526,84.24289203,Ss,fSms,Su2,,St2,,5.273094137,0.113667706,1.980474125,0.099574633,12.71529076,0.130806836,8.2,2.1,0.8,1.5,1.7,1.7,,82,21,8
445235.8118,5823948.5,14,4.000426188,13.85357362,82.14600019,2.789968421,16.71592188,80.4941097,3.588820171,22.4022324,74.00894743,Su2,,Su2,,Su2,,6.719642527,0.12598376,1.778692435,0.101380543,1.655446336,0.125845797,8.2,2.6,1,1.5,1.7,1.7,,82,26,10
445265.5686,5823944.72,15,2.658010398,7.87089839,89.47109122,8.807613145,7.17769943,84.01468743,6.247309802,7.12367462,86.62901558,Su2,,Sl3,,Su3,,6.162711771,0.132334178,4.070681353,0.127027872,3.216378946,0.135277769,6.6,1.9,0.9,1.5,1.7,1.7,,66,19,9
445295.3872,5823940.71,16,5.459420071,13.56911601,80.97146392,3.65203534,18.30947886,78.0384858,10.15928602,11.10926885,78.73144514,Sl2,,Sl4,,Sl3,,7.226648148,0.137240615,6.333242689,0.123680748,11.57314752,0.088727283,7.6,1.8,0.9,1.5,1.7,1.7,,76,18,9
445325.1515,5823936.67,17,2.044279102,14.38813298,83.56758792,1.364362382,6.70055133,91.93508629,3.132196146,11.90500254,84.96280131,Su2,,Ss,mSfs,Su2,,6.176689699,0.119058494,1.698001556,0.066031746,3.068184275,0.112435035,6.7,2.5,0.5,1.5,1.7,1.7,,67,25,5
445354.9845,5823932.61,18,1.853803862,12.55703072,85.58916542,1.489483309,11.48281586,87.02770083,1.336375296,11.43354831,87.2300764,Su2,,Su2,,Su2,,14.0546978,0.117839467,1.209622635,0.092360733,10.48020271,0.116416891,7.6,1.6,0.8,1.5,1.7,1.7,,76,16,8
445384.8198,5823928.75,19,3.231924297,12.51070171,84.257374,2.614338693,11.39467939,85.99098191,8.714967193,23.25712972,68.02790309,Su2,,Su2,,Sl3,,10.08083751,0.116884193,1.618722546,0.084963221,7.60062634,0.110554797,7.1,2.6,1.1,1.5,1.7,1.7,,71,26,11
445414.6359,5823924.88,20,2.683135245,12.27424061,85.04262415,6.148057348,13.84262943,80.00931322,7.243433264,13.35440517,79.40216157,Su2,,Sl2,,Sl2,,4.995720845,0.118298368,2.074007513,0.099245749,0.831360806,0.05095141,5.8,1.7,0.7,1.5,1.7,1.7,,58,17,7
445143.1234,5823939.87,21,1.673746213,4.656043098,93.67021069,1.359266965,4.297903402,94.34282963,3.203874634,7.064326101,89.73179927,Ss,mSfs,Ss,mSfs,Ss,mSfs,8.202155146,0.095344228,0.971873597,0.073154719,0.617354911,0.05688722,7.9,2.7,0.8,1.5,1.7,1.7,,79,27,8
445172.7824,5823936.06,22,2.352513421,5.269098765,92.37838781,2.363553039,5.100185485,92.53626148,1.713909768,9.44846031,88.83762992,Ss,mSfs,Ss,mSfs,Ss,fSms,2.799543075,0.08609853,0.620724925,0.061036412,15.80480037,0.139296605,8,3,0.6,1.5,1.7,1.7,,80,30,6
445202.7512,5823931.96,23,1.211389921,13.40726297,85.38134711,5.522273183,15.00444408,84.47328274,7.9602303,5.80735624,86.23241346,Su2,,Su3,,Ls4,,12.77946541,0.119534234,3.208735347,0.107594319,5.996270283,0.13616713,7.4,2.8,1.3,1.5,1.7,1.7,,74,28,13
445232.5478,5823927.93,24,3.751719005,7.06718083,89.18110017,8.770756035,8.87647624,82.35276772,10.62209859,5.06053622,84.3173652,Su2,,Sl3,,Sl3,,11.33530723,0.151498314,5.96655859,0.13159356,2.365188139,0.097197756,7.3,2.2,0.9,1.5,1.7,1.7,,73,22,9
445262.3046,5823924.15,25,2.789712994,11.69000853,85.52027848,2.579788835,12.61519047,84.8050207,1.68919122,10.36976812,87.94104066,Su2,,Su2,,Su2,,6.351647855,0.117993698,1.829106559,0.082555495,1.638167944,0.077961895,8.2,1.4,0.5,1.5,1.7,1.7,,82,14,5
445292.1233,5823920.13,26,1.643026991,12.38299444,85.97397857,2.256050769,12.74163861,85.00231062,0.612886933,14.20397885,85.18313422,Su2,,Su2,,Su2,,7.998745661,0.106239147,0.886088982,0.073447836,6.756778784,0.101261089,4.9,1.2,0.4,1.5,1.7,1.7,,49,12,4
445321.8876,5823916.1,27,2.898468295,11.67845838,85.42307333,1.691707586,10.90495518,87.40333724,4.274688587,13.14893426,82.57637715,Su2,,Su2,,Su2,,4.845658125,0.094328014,1.008376299,0.07315871,4.322226372,0.15887021,5.2,1.8,0.8,1.5,1.7,1.7,,52,18,8
445351.7205,5823912.03,28,3.34373899,15.83093631,80.8253247,10.38371542,21.42242134,68.19386324,10.87238824,27.78300703,61.34460473,Su2,,Sl3,,Sl3,,5.558315331,0.156440403,4.702552967,0.151810801,7.257123177,0.130110609,6.1,2.2,0.9,1.5,1.7,1.7,,61,22,9
