X,Y,id,Clay_0,Silt_0,Sand_0,Clay_30,Silt_30,Sand_30,Clay_60,Silt_60,Sand_60,00-30_Clas,00-30_Cl_1,30-60_Clas,30-60_Cl_1,60-90_Clas,60-90_Cl_1,00-30_Nmin,00-30_Wate,30-60_Nmin,30-60_Wate,60-90_Nmin,60-90_Wate,Corg_0,Corg_30,Corg_60,Bulk_Density_0,Bulk_Density_30,Bulk_Density_60
851738.26,5836339.828,1,24.21017336,15.94423108,59.84559556,24.51997628,15.52527987,59.95474385,19.11625892,24.4887913,56.39494978,Su2,,Sl2,,Sl3,,8.685170226,0.136335805,4.731530898,0.120944958,5.801935729,0.098515568,0.1,0.1,0.1,1.85,1.85,1.85
851768.1765,5836338.505,2,2.369694996,9.581716894,88.04858811,3.491695576,12.73152502,83.77677941,2.048505818,6.379981059,91.57151312,Ss,fSms,Su2,,Ss,fSms,6.792788049,0.129733034,5.886664694,0.122970642,11.51653285,0.16495745,8.1,11.4,2.8,1.5,1.7,1.7
851798.4272,5836336.908,3,2.363658566,9.06075391,88.57558752,3.723876758,20.48889415,75.78722909,5.303481097,14.6958378,80.00068111,Ss,fSms,Su2,,Sl2,,4.795563809,0.118331886,1.661912134,0.095248795,6.746149284,0.093330154,7.2,1.4,0.4,1.5,1.7,1.7
851858.5136,5836334.062,4,6.752169451,19.26593672,73.98189383,8.332109951,13.34444757,78.32344248,9.625424938,10.85738117,79.5171939,Sl2,,Sl3,,Sl3,,6.036236957,0.107679596,2.509045378,0.109252524,0.948624096,0.122724433,7.5,0.7,0.8,1.5,1.7,1.7
851828.5011,5836335.357,5,3.504421795,12.7477032,83.747875,2.909838182,10.86606776,86.22409406,0.692192002,3.98371992,95.32408808,Su2,,Su2,,Su2,,8.324897622,0.116784563,0.821813837,0.092013722,2.927570726,0.129113286,6.1,2.8,2,1.5,1.7,1.7
851888.6069,5836332.542,6,2.271202248,10.7873251,86.94147265,0.950054831,9.997345913,89.05259926,6.077900599,14.64390073,79.27819867,Su2,,Ss,mSfs,Sl2,,12.00795735,0.091358583,1.401190227,0.075427776,2.004368078,0.09848948,5,0.8,0.8,1.5,1.7,1.7
851918.6485,5836330.988,7,1.246499183,15.21669923,83.53680159,3.003353483,13.48999287,83.50665364,2.857845678,18.76782355,78.37433077,Su2,,Su2,,Su2,,6.741140884,0.117427516,0,0.086055948,2.811160593,0.097392029,5.9,2.4,1.2,1.5,1.7,1.7
851948.7604,5836329.42,8,3.557321646,14.08045821,82.36222015,2.269228945,14.32843952,83.40233154,9.884451906,18.31265075,71.80289735,Su2,,Su2,,Sl3,,5.49777994,0.121854176,0.469578096,0.092437168,8.172266714,0.122917647,7.3,1.4,1.1,1.5,1.7,1.7
851978.8589,5836328.041,9,3.727587508,13.38533468,82.88707781,2.305733229,12.18929328,85.50497349,2.991885547,12.02360067,84.98451379,Su2,,Su2,,Su2,,7.082782803,0.116107959,0.890872301,0.078233108,2.678032909,0.094505985,7.1,2.9,0.7,1.5,1.7,1.7
852008.9371,5836326.671,10,4.237400854,10.42556122,85.33703793,2.899416098,8.21572102,88.88486288,4.696522745,9.326537357,85.9769399,Su2,,Ss,fSms,Ss,mSfs,5.88732088,0.106466754,0.665512778,0.079819556,11.79637441,0.093557393,6.9,3.1,0.7,1.5,1.7,1.7
